Date,MSCI World
12/1969,10000
01/1970,9445.5
02/1970,9740.499999999998
03/1970,9770.8
04/1970,8857.800000000001
05/1970,8298.999999999998
06/1970,8094.5999999999985
07/1970,8596.499999999998
08/1970,8879.9
09/1970,9166.700000000003
10/1970,9031.4
11/1970,9233.7
12/1970,9691.5
01/1971,10073.198169398906
02/1971,10163.472934426229
03/1971,10609.448166666665
04/1971,10965.358325136613
05/1971,10467.678934426227
06/1971,10450.800516393443
07/1971,10192.672349726778
08/1971,10220.354133879782
09/1971,9947.754704918034
10/1971,9483.39607103825
11/1971,9582.816002732237
12/1971,10245.097967213116
01/1972,10496.007557377048
02/1972,10747.548726775956
03/1972,10858.43306557377
04/1972,11013.59492896175
05/1972,11243.255672131145
06/1972,10945.348655737705
07/1972,11088.470415300544
08/1972,11494.732841530054
09/1972,11343.269642076504
10/1972,11486.126754098357
11/1972,12076.959289617485
12/1972,12279.808644808742
01/1973,12298.034459016391
02/1973,11644.177445355192
03/1973,10914.370502732243
04/1973,10451.360262295084
05/1973,10251.600983606557
06/1973,9535.005081967212
07/1973,8840.419672131145
08/1973,8802.384180327868
09/1973,9048.130229508197
10/1973,9099.083928961747
11/1973,8467.771046448086
12/1973,8647.400606557378
01/1974,9229.759150273225
02/1974,9038.727967213114
03/1974,8496.988961748633
04/1974,8061.822027322404
05/1974,7539.35619672131
06/1974,7491.309349726776
07/1974,7124.404459016393
08/1974,6602.30275409836
09/1974,6083.947540983607
10/1974,6495.389049180328
11/1974,6192.222049180328
12/1974,5942.178344262295
01/1975,6571.385106557377
02/1975,7037.442877049181
03/1975,7065.246836065574
04/1975,7537.12813114754
05/1975,7633.216639344262
06/1975,7696.5360109289595
07/1975,7681.989786885246
08/1975,7871.629836065573
09/1975,7674.307210382514
10/1975,8086.434598360655
11/1975,8332.993180327869
12/1975,8443.521516393443
01/1976,9130.65081967213
02/1976,8921.711754098362
03/1976,9020.222950819672
04/1976,8877.521803278687
05/1976,8811.816043715848
06/1976,9138.293852459017
07/1976,9042.263005464483
08/1976,8863.330622950822
09/1976,8798.177688524587
10/1976,8284.386754098361
11/1976,8196.156666666666
12/1976,8703.328625683062
01/1977,8446.46606557377
02/1977,8451.209426229509
03/1977,8351.584819672133
04/1977,8381.797972677594
05/1977,8213.97319125683
06/1977,8511.632360655736
07/1977,8135.142950819672
08/1977,8288.997344262296
09/1977,8418.314704918032
10/1977,8110.710579234973
11/1977,8078.220060109289
12/1977,7909.0389344262285
01/1978,7558.5980327868865
02/1978,7357.782852459017
03/1978,7526.635655737705
04/1978,7900.449213114755
05/1978,8245.840262295082
06/1978,8242.049180327871
07/1978,8715.9995
08/1978,8661.141775956283
09/1978,8640.462994535521
10/1978,7910.742928961748
11/1978,7903.306644808743
12/1978,8053.607622950819
01/1979,8374.890920906435
02/1979,8254.02085713558
03/1979,8597.408372856242
04/1979,8680.583861842639
05/1979,8624.512520948967
06/1979,8770.254481359167
07/1979,8519.581714406237
08/1979,8888.384069147352
09/1979,8989.74133405289
10/1979,8356.556236998304
11/1979,8578.48054719024
12/1979,8610.029830033005
01/1980,9038.277249530114
02/1980,9126.329252370291
03/1980,8576.254480292011
04/1980,9246.793992508892
05/1980,9281.47744341322
06/1980,9583.373973052774
07/1980,9754.886372002678
08/1980,10142.399523561871
09/1980,10421.777541480375
10/1980,10994.775804387571
11/1980,11855.562521343181
12/1980,11961.844335825948
01/1981,11648.06777429447
02/1981,12476.965203762595
03/1981,12928.440860125513
04/1981,13277.61676844419
05/1981,13812.837615265096
06/1981,14316.17560939497
07/1981,14502.287906427568
08/1981,14601.50834804114
09/1981,12889.970076914109
10/1981,12890.541667817084
11/1981,13699.030345969539
12/1981,13591.621821251712
01/1982,13595.40406799338
02/1982,13196.535469761193
03/1982,13069.349935119797
04/1982,13921.242962998596
05/1982,13105.779309431184
06/1982,13238.749215457392
07/1982,13347.359658298803
08/1982,14401.689684100222
09/1982,14602.44444243838
10/1982,15788.854432741777
11/1982,16901.68057760279
12/1982,16931.70069361683
01/1983,17169.28823116136
02/1983,17849.628088415124
03/1983,18568.863798841092
04/1983,20179.162961727958
05/1983,20104.117277399506
06/1983,21368.722194556587
07/1983,21270.256526188343
08/1983,22075.82256407751
09/1983,22535.007112009665
10/1983,21901.24514116344
11/1983,23065.335907760156
12/1983,23950.128826480635
01/1984,24688.220866893964
02/1984,23533.8134690919
03/1984,23761.046531643682
04/1984,24090.848969313192
05/1984,23109.64565095301
06/1984,23302.57534882318
07/1984,23329.02102962507
08/1984,25956.58864295981
09/1984,27077.329144808737
10/1984,27861.15456210172
11/1984,27027.739719687037
12/1984,28678.46668987608
01/1985,30995.403199123943
02/1985,32208.93997851267
03/1985,33397.68603403727
04/1985,30997.60352328149
05/1985,32813.402623779366
06/1985,32812.042373720826
07/1985,31851.11189320004
08/1985,31005.546084236026
09/1985,31738.563749497163
10/1985,31387.082387569055
11/1985,32496.14690534258
12/1985,33210.72335646866
01/1986,33002.13081138161
02/1986,34556.29881776739
03/1986,36883.360500299
04/1986,38092.02523496577
